,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498
0,1.2701896501624525e+19,1.5877370985569427e+19,1.9052845470865793e+19,2.222831995650676e+19,2.5403820465706115e+19,2.857936801522445e+19,3.1754942445389443e+19,3.493053367595861e+19,3.810613610679722e+19,4.1281746377824444e+19,4.445736235080702e+19,4.763298260025613e+19,5.080860613929486e+19,5.398423226301114e+19,5.7159860454469485e+19,6.033549032596823e+19,6.351112158102968e+19,6.668675398906005e+19,6.986238736801161e+19,7.303802157224619e+19,7.62136564838662e+19,7.938929200641e+19,8.256492806019187e+19,8.574056457880707e+19,8.891620150647559e+19,9.209183879599895e+19,9.526747640717109e+19,9.844311430552961e+19,1.016187524613656e+20,1.0479439084893128e+20,1.0797002944580125e+20,1.1114566823235317e+20,1.1432130719134327e+20,1.174969463075564e+20,1.2067258556751631e+20,1.238482249592441e+20,1.2702386447205587e+20,1.3019950409639238e+20,1.3337514382367479e+20,1.3655078364618218e+20,1.3972642355694684e+20,1.4290206354966469e+20,1.4607770361861808e+20,1.492533437586091e+20,1.524289839649019e+20,1.5560462423317253e+20,1.5878026455946487e+20,1.6195590494015262e+20,1.6513154537190546e+20,1.6830718585165942e+20,1.7148282637659092e+20,1.746584669440936e+20,1.7783410755175776e+20,1.8100974819735214e+20,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1458017877477816e+16,1.4322546388855508e+16,1.7187177878612278e+16,2.005185866027577e+16,1.856429282958357e+17,4.325975124882466e+17,7.260455336031681e+17,1.0485519527946593e+18,1.3904306373705298e+18,1.745869907715466e+18,2.111171422256086e+18,2.48386961994347e+18,2.862257573897594e+18,3.2451160506327286e+18,3.6315509455926717e+18,4.0208916803602724e+18,4.4126254596753556e+18,4.806353442780005e+18,5.201760755391661e+18,5.598595498084273e+18,5.996653752274844e+18,6.395768675486381e+18,6.795802441324846e+18,7.196640194461872e+18,7.598185456421631e+18,8.000356591570732e+18,8.403084058443693e+18,8.8063082500701e+18,9.20997778113063e+18,9.61404811768187e+18,1.0018480472095689e+19,1.0423240905197468e+19,1.082829959165194e+19,1.123363021498681e+19,1.1639209466326608e+19,1.2045016626670934e+19,1.2451033216911307e+19,1.2857242703108559e+19,1.326363024711217e+19,1.3670182494586663e+19,1.4076887394058557e+19,1.4483734041813748e+19,1.4890712548437127e+19,1.5297813923551318e+19,1.5705029975923597e+19,1.6112353226602353e+19,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0276205124832517e+18,1.2845256471080696e+18,1.5916030376939343e+18,1.9112234948685555e+18,2.235934746651464e+18,2.5631914054865203e+18,2.891902582649649e+18,3.221522833767825e+18,3.551749134189363e+18,3.882399669123256e+18,4.213358738247953e+18,4.5445492080157517e+18,4.875917678278244e+18,5.207426006072283e+18,5.539046219891556e+18,5.870757341106339e+18,6.202543327235063e+18,6.534391700792074e+18,6.866292611130802e+18,7.198238177733988e+18,7.530222021135282e+18,7.862238921771303e+18,8.194284567828829e+18,8.526355366130173e+18,8.858448298406071e+18,9.190560810736385e+18,9.522690727559516e+18,9.854836184108374e+18,1.0186995572825127e+19,1.051916750049298e+19,1.0851350753665059e+19,1.1183544270575337e+19,1.1515747118156712e+19,1.184795847311467e+19,1.2180177606245503e+19,1.2512403869368142e+19,1.284463668437514e+19,1.3176875534012473e+19,1.3509119954077805e+19,1.3841369526789038e+19,1.4173623875123294e+19,1.4505882657964653e+19,1.4838145565928886e+19,1.5170412317757628e+19,1.550268265719324e+19,1.5834956350261363e+19,1.6167233182900343e+19,1.6499512958887e+19,1.6831795498016383e+19,1.716408063449992e+19,1.7496368215552074e+19,1.7828658100140044e+19,1.816095015787501e+19,1.8493244268026573e+19,1.8825540318644752e+19,1.915783820577597e+19,1.9490137832761647e+19,1.9822439109609312e+19,2.0154741952427684e+19,2.048704628291821e+19,2.0819352027916706e+19,2.1151659118979224e+19,2.1483967492007477e+19,2.181627708690933e+19,2.2148587847290614e+19,2.2480899720174985e+19,2.2813212655748882e+19,2.3145526607128932e+19,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.213810671277283e+16,3.8216689976895775e+18,7.626404022935689e+18,1.2015241311396106e+19,1.6637724154041254e+19,2.137702977414489e+19,2.6183091268053352e+19,3.1030875183089836e+19,3.5906474045544997e+19,4.080154337119323e+19,4.571077303370915e+19,5.063062294887585e+19,5.555864228915852e+19,6.049308046346089e+19,6.543265370497901e+19,7.037639918860994e+19,7.532358063633375e+19,8.027362538746832e+19,8.52260813414751e+19,9.018058681792325e+19,9.513684902789258e+19,1.0009462841681199e+20,1.0505372709177501e+20,1.1001398014202615e+20,1.1497524904253083e+20,1.1993741657979827e+20,1.2490038290529929e+20,1.2986406243458023e+20,1.3482838138793982e+20,1.397932758229701e+20,1.4475869004789654e+20,1.4972457533241636e+20,1.5469088885293017e+20,1.5965759282390906e+20,1.646246537781703e+20,1.695920419671071e+20,1.7455973085817815e+20,1.7952769671174128e+20,1.8449591822298946e+20,1.8946437621759613e+20,1.944330533919011e+20,1.994019340902116e+20,2.0437100411317836e+20,2.093402505523021e+20,2.143096616465057e+20,2.1927922665741445e+20,2.2424893576055767e+20,2.2921877995017077e+20,2.3418875095565356e+20,2.3915884116805393e+20,2.441290435752001e+20,2.490993517043184e+20,2.5406975957114624e+20,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.015426302425578e+17,1.1344873281866497e+18,1.4675073410664082e+18,1.8005519008223675e+18,2.133606280235143e+18,2.484395822414686e+18,2.84531974332245e+18,3.2125776509353503e+18,3.5840582163516764e+18,3.9584946422304005e+18,4.335080784809048e+18,4.713279214912641e+18,5.092717866189269e+18,5.473130976958993e+18,5.854323655323197e+18,6.236149732357914e+18,6.618497431827173e+18,7.001279816658548e+18,7.384428252321181e+18,7.76788783119038e+18,8.151614104236638e+18,8.535570704072173e+18,8.919727588072298e+18,9.304059720716442e+18,9.688546072167315e+18,1.0073168847947223e+19,1.0457912889797386e+19,1.0842765204924555e+19,1.122771459264491e+19,1.161275134569913e+19,1.1997867009377483e+19,1.2383054185808955e+19,1.276830637383418e+19,1.3153617837136056e+19,1.3538983494976586e+19,1.3924398831144212e+19,1.4309859817666472e+19,1.4695362850567997e+19,1.5080904695511925e+19,1.546648244159507e+19,1.5852093461904808e+19,1.6237735379710667e+19,1.6623406039373386e+19,1.7009103481220905e+19,1.7394825919774237e+19,1.778057172481344e+19,1.8166339404860684e+19,1.855212759272798e+19,1.8937935032834494e+19,1.9323760570045882e+19,1.970960313982657e+19,2.0095461759528313e+19,2.048133552066502e+19,2.086722358204586e+19,2.1253125163657523e+19,2.1639039541201916e+19,2.20249660412089e+19,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16889970479166.754,2437528269693978.5,4858180586030669.0,2.1150332579200673e+18,5.068310105506007e+18,8.44347510657154e+18,1.2172831705172453e+19,1.6123558052232978e+19,2.0221864231599907e+19,2.4423476293581324e+19,2.8700219906555093e+19,3.303331218277312e+19,3.740974958456367e+19,4.1820243870732616e+19,4.625798366440428e+19,5.071786043292192e+19,5.51959676513127e+19,5.968926691126442e+19,6.419535946937274e+19,6.871232633091417e+19,7.323861402396968e+19,7.77729515260601e+19,8.23142888620939e+19,8.686175105282815e+19,9.141460311569883e+19,9.597222314238247e+19,1.0053408135912209e+20,1.0509972367412598e+20,1.09668758628953e+20,1.1424084695962083e+20,1.188156931781449e+20,1.2339303873253868e+20,1.2797265641045036e+20,1.3255434573039311e+20,1.3713792912304993e+20,1.4172324874902803e+20,1.4631016383265264e+20,1.508985484167412e+20,1.554882894627965e+20,1.6007928523617098e+20,1.6467144392754856e+20,1.6926468247135778e+20,1.7385892552905667e+20,1.7845410461106202e+20,1.8305015731575325e+20,1.8764702666773794e+20,1.9224466054059298e+20,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.8776711892997453e+18,2.816511658822006e+18,3.7555980213096274e+18,4.918273892071544e+18,6.233646981285918e+18,7.635455108961312e+18,9.086660562928129e+18,1.0568739345827088e+19,1.2071400348014137e+19,1.3588468903702856e+19,1.5116015680120054e+19,1.6651421122083615e+19,1.8192871691390534e+19,1.973907200361009e+19,2.1289072110159757e+19,2.2842159549602636e+19,2.439778949848698e+19,2.5955538205239222e+19,2.751507112914337e+19,2.9076120637626647e+19,3.0638470075749167e+19,3.2201942180378313e+19,3.3766390516752343e+19,3.5331693055903154e+19,3.689774729349753e+19,3.846446649509968e+19,4.003177677581984e+19,4.159961480575252e+19,4.3167925990151586e+19,4.473666301357041e+19,4.630578466578127e+19,4.787525488783492e+19,4.944504199156382e+19,5.101511801682016e+19,5.258545819890159e+19,5.415604052473935e+19,5.572684536105589e+19,5.729785514123449e+19,5.886905410036267e+19,6.044042805001919e+19,6.201196418601908e+19,6.3583650923623514e+19,6.5155477755743805e+19,6.672743513048115e+19,6.829951434499441e+19,6.987170745321122e+19,7.1444007185320755e+19,7.3016406877329695e+19,7.45889004092442e+19,7.616148215066994e+19,7.773414691281214e+19,7.930688990601408e+19,8.087970670210256e+19,8.245259320091722e+19,8.402554560049118e+19,8.55985603704266e+19,8.717163422807292e+19,8.874476411716921e+19,9.031794718865868e+19,9.189118078342169e+19,9.346446241670706e+19,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,60765114440.82067,815157468668396.1,1630351121602781.8,2445570807901865.0,3300273999200336.0,4174854300021469.0,5065904358924943.0,5967248016629882.0,6875454073535797.0,7788463809882397.0,8704967131276764.0,9624090641456958.0,1.0545229681472404e+16,1.1467952352072692e+16,1.2391941927140852e+16,1.331696086208916e+16,1.4242827505174058e+16,1.5169400571706116e+16,1.6096568521141044e+16,1.7024242121043412e+16,1.795234913563216e+16,1.888083046290459e+16,1.980963727946719e+16,2.0738728899158684e+16,2.166807114560361e+16,2.259763510033041e+16,2.3527396129085544e+16,2.4457333116794548e+16,2.5387427860807024e+16,2.6317664585492628e+16,2.724802955078621e+16,2.817851073413078e+16,2.910909757024897e+16,3.0039780736837224e+16,3.0970551976998116e+16,3.190140395126725e+16,3.2832330113635864e+16,3.3763324607148716e+16,3.4694382175563956e+16,3.56254980882639e+16,3.655666807615454e+16,3.748788827672227e+16,3.841915518675706e+16,3.935046562152249e+16,4.028181667936988e+16,4.1213205710967784e+16,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4010893324216.044,1.390298043366875e+19,2.7805958951961424e+19,4.17089379954534e+19,5.56119260372273e+19,6.957448425481023e+19,8.357108257285664e+19,9.758895595369272e+19,1.1162101270972193e+20,1.2566299782838629e+20,1.397122035744217e+20,1.537668247909854e+20,1.6782561175410934e+20,1.8188767180381635e+20,1.9595235032278968e+20,2.10019156348042e+20,2.240877144372888e+20,2.3815773257986428e+20,2.5222898024103235e+20,2.6630127299300416e+20,2.803744615370934e+20,2.9444842371982954e+20,3.085230586318239e+20,3.225982821819191e+20,3.3667402373354304e+20,3.507502235172886e+20,3.648268306184757e+20,3.789038013959497e+20,3.9298109822802605e+20,4.0705868850924415e+20,4.211365438413001e+20,4.35214639375678e+20,4.49292953275803e+20,4.633714662741089e+20,4.774501613050378e+20,4.9152902319920434e+20,5.056080384271567e+20,5.1968719488359596e+20,5.3376648170479256e+20,5.4784588911338947e+20,5.6192540828591856e+20,5.7600503123924176e+20,5.900847507328385e+20,6.041645601844176e+20,6.182444535967798e+20,6.323244254942222e+20,6.464044708670589e+20,6.604845851230776e+20,6.745647640449405e+20,6.886450037526971e+20,7.027253006707066e+20,7.168056514983777e+20,7.308860531842196e+20,7.449665029027787e+20,7.590469980340887e+20,7.731275361453235e+20,7.872081149743817e+20,8.012887324151693e+20,8.153693865043776e+20,8.294500754095859e+20,8.435307974185318e+20,8.576115509294215e+20,8.716923344421624e+20,8.857731465504181e+20,8.99853985934395e+20,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,793377374497209.6,1218562542112086.2,2613789861200109.5,4285692905767099.0,6082753186033124.0,8751033541491281.0,1.1917153940088064e+16,1.5394424365646494e+16,1.907912814251268e+16,2.2909035265294304e+16,2.684454482146897e+16,3.0859256202688416e+16,3.4934892064711536e+16,3.905839716165185e+16,4.322019764652588e+16,4.741311313409609e+16,5.163165274153372e+16,5.587154578219421e+16,6.012942066135817e+16,6.4402580103250056e+16,6.868884059890875e+16,7.298641564100243e+16,7.72938294191265e+16,8.160985209127717e+16,8.593345059017128e+16,9.026375078195378e+16,9.460000803408152e+16,9.894158409008894e+16,1.0328792872888504e+17,1.0763856509219099e+17,1.1199307785182837e+17,1.1635110359564112e+17,1.207123229614315e+17,1.2507645415902498e+17,1.2944324760283845e+17,1.3381248143902024e+17,1.381839577979189e+17,1.4255749963826726e+17,1.4693294807687686e+17,1.5131016011887824e+17,1.5568900672012064e+17,1.600693711263726e+17,1.6445114744426138e+17,1.6883423940708445e+17,1.7321855930517955e+17,1.7760402705581152e+17,1.819905693917972e+17,1.863781191515519e+17,1.907666146560694e+17,1.9515599916066397e+17,1.9954622037121338e+17,2.0393723001622022e+17,2.0832898346731904e+17,2.1272143940194912e+17,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
